word,freq
all clear,11
artesian wells,2
artificial limb,1
artificial respiration,1
attempted suicide,1
birth place,1
blood corpuscles,1
blood stain,4
brain injury,1
brain wave,1
breakfast time,3
carotid artery,2
cataleptic attacks,1
central africa,1
cheek bones,2
chewing tobacco,1
clear eyes,1
comparative anatomy,2
cooking utensils,1
death certificate,2
egg shells,1
enlarged spleen,1
enteric fever,1
expert opinion,1
expert witness,1
fir trees,3
free will,7
general hospital,1
general practitioner,3
goat's beard,1
great britain,3
great toe,1
great war,2
green dragon,4
grizzly bear,1
heart disease,2
his bundle,2
human figure,1
human nature,5
hypodermic syringe,3
india rubber,2
knee cap,1
knee caps,1
legal status,1
light green,2
lower limbs,1
lunch time,1
meal time,1
medical school,1
medical student,3
medical students,2
men i,3
middle age,5
mountain goat,1
mud bath,1
native born,1
never married,1
nursing home,1
only children,2
organic chemistry,1
pine trees,1
plaster cast,2
plaster casts,2
police force,7
police officer,5
police officers,1
private room,4
roman catholic,1
second opinion,1
self esteem,1
sitting position,1
slaughter house,2
spanish american,1
spinal curvature,1
st helena,1
sudden death,6
upper arms,1
walking stick,1
west africa,1
wild animal,1
wild boar,1
